class,text
0,toto je tiež človek na správnom mieste. ľudia len aby ste nás nesklamali a budete narábať s kostolným poriadkom.  ako vláda a prezidenti. týmto nikoho neobvinujem a máte moju plnú podporu. ale človek už z minulosti sa boji
0,spravne pani prezidentka...
0,výborne pani prezidentka! viac takýchto ľudí so zdravým myslením.
0,ste jednicka
0,opat raz mudre
0,tak pani nasa prezidentka
0,wau obdivujem vas a velmi sa mi paci vsetko co robite pre nasu krajinu
0,bravo pani prezidenkal
0,pani prezidentka dobre 
0,super
0,múdra
0,pani prezidentka. mam vás rád
0,páni prezidentka sme na vás hrdý
0,fesna +aj múdra -
0,správne.
0,krátko a múdro pani prezidentka
0,ešte nikto takto čestne nekonal ako naša pani prezidentka a preto to s niektorymi trasie!
0,verim v zdravi rozum a slusnych ludi
0,pani prezidentka zase pomenovala veci pravým menom! ste skvela!
0,držím  palce pani prezidentka
0,máte pravdu
0,a preto určite pôjdeme voliť 
0,dakujem
0,je dobre
0,a pani prezidentka  aj vie preco.a nech teda z toho dovodu vyhra.
0,ešte si najdu tesne pred voľbami to už čoskoro na fica a to je jasne jak facka. ďakujeme pani prezidentka .
0,ste človek veľkým srdcom myslíte hlavne aj na slabšie rodiny to je od vás  najkrajšie a to vás robí hlavné veľkého politika dobrým srdcom.
0,robo začína sa to obracať.
1,len keby pan fico nekradli pre seba a nevyhovarali sa tak sa nájdu len keby chcely dat  len to je vláda banda zlodejov a mafiánov plných klamárav môžu sa hanbiť celá vláda pan fico mate pravdu ako vždy  pridajte sa zajtra držím palce pan fico
0,ste človek veľkým srdcom myslíte hlavne aj na slabšie rodiny to je od vás  najkrajšie a to vás robí hlavné veľkého politika dobrým srdcom.
0,robo začína sa to obracať.
1,len keby pan fico nekradli pre seba a nevyhovarali sa tak sa nájdu len keby chcely dat  len to je vláda banda zlodejov a mafiánov plných klamárav môžu sa hanbiť celá vláda pan fico mate pravdu ako vždy  pridajte sa zajtra držím palce pan fico
0,a kam to budeme vyhadzovať pán fico ?mozte povedať ??? ved tie deti všetko nezjedia a sa veľa vyhadzuje
0,zastavme ich bratia!!
1,lidi volili matoviče
1,uberajú najslabším
1,presne tak to co tato vlada robi ako sa sprava je prinajmensom detinske...ak sa mam slusne vyjadrit. len aby nejako mohli ublizit smeru tak rusia vsetko co bolo urobene v prospech ludi.pravdepodobne im tieto suvislosti vobec nedochadzaju.
1,"""je to banda ( sory za výraz)  skorumpovaných nenažrancov""""...treba ihneď zakročiť"""
1,najhoršie sú hladné sviňe ktoré sa dostanú ku korytu
0,750 000€ americkej opozícii v bielorusku?
1,do bieloruská si nasipsl milióny a na slovákov sereš hamba odporné
1,ty si hluchy aj slepy asi kozacik.
0,750 000 a za čo? pre dôchodcov nemajú
0,naco je bielorusku tolko peňazí co nas do bieloruska?
1,keby to rom.tak nam tu budu vypisovat aktivisti celeho sveta aky su slováci rasisti
1,hnus celá vláda .750000 € asi z naších daní nejakej pochybnej organizácií ktorá rozjebáva systémi všade vo svete kde sa im to zachce
1,robia zlo tam
0,hlavná vec
1,p. fico obhajujte práva slovákov nedovoľte
0,konečne sa začalo niečo robiť ... myslím natlakovo
1,na vlastných ľudí nie je peňazí??? vyhodiť ich z parlamentu
0,pán fico máte pravdu.
1,a takto sa rodí demokracia
1,omieľali stále prázdnu špajzu   - klamali  na toto sa nájdu peniaze
1,no jasne liberalne globalisticke spolky sa budu financne podporovat az do posledneho zijuceho slovaka
0,je to správné pan fico.ještě vysvětlit od vlády proč podporuje a vyhazuje zbytečné peníze 
0,to čo dáva
0,ak budem mať oko v poriadku
1,kurvy maju ščoho okradli dochodcov fuj
0, zajtra 1.9 o 18h  
0,presne a pravdivo napisane pan fico
0,na to sa peniaze nasli?????????
0,inak mňa bude veľmi zaujímať ci podporíte tých 750 000  pre bielorusko
0,len do nich pán fico
0,tá matovičová vláda fakt nevie kde dávať peniaze. na 13.dôchodky nemajú peniaze
0,pozor nie štát ale opozíciu. ved už len ta osoba co  sa vyhlasuje za prezidentku stojí za úvahu
0,však korčok minulý týždeň na tb hovoril o tom
0,minister zahraničia na tlačovke okrem iného tvrdil
0,do ulic podte snami a nie tie vase milove statusy
0,ďakujeme a veľmi vám držíme palce v boji s tými plagiátormi....
1,rozhýbala sa slovenská vládna koalícia
0,ked za komančov podporoval západ našich kvázi disidentov 
0,ved to su peniaze ktore budu splacat nase deti ...nema pravo rozdavat peniaze ktore mu nepatria.nech da svoje.
0,som prekvapená
0,drzim palce pan fico nedajte sa
0,ďakujem pán fico.
1,keď skorumpovane vláda zobrala z rozpočtu milión tak potom čo dali amici a ostatná banda
0,vážne už nikto nevie zastaviť nové nariadenia vlády?aby sa na nás bavil ?to už čo sme za štát kde to nikto nevie stopnúť my sme není bábky aby sa s nami niekto hral
0,čože? 750 000 pre bielorusku opozíciu ? a prečo? to snáď nemyslíte vážne!
0,čo nás je po iných štátov každý sa spolieha na slovensko
0,co majú čo naše dane rozhadzovat a starať sa do veci iného štátu
1,fuj mozu sa hambit
1,nepotrebujeme takýto belgický systém
1,kua a z čoho keď je teda kasa prázdna.? máriu im tam
1,aká vláda? šašocirkus!!!
0,máte pravdu fico
0,skvelé...len tá podpora na zvrhnutie lukasenka ma štve. pán fico sa isto necítil najlepšie
0,super
1,na dôchodky peniaze nemaju ale rozdavaju tam kde nemajú
1,tak na 13.dôchodky nemajú peniaze
1,venovať peniaze pre biel. opozíciu? americká propaganda strkaju sa do riti usa! magori.
0,a ešte
0,skoda tych penazi na podporovanie prevratu v bielorusku . radsej mohli z tych penazi zriadit nejaky fond pre rodinu pana chovanca . bude im asi tazko bez otca a manzela
1,ja si vás vážim ale do riti kravskéj tak na takejto veci rozbijem celú koaliciu...oni nechcú mi chceme...kde je problém.?od socialistov z bruselu či  čo?....túto vládu dehonestovať je aký problém?...viem že dá sa položiť a aj tak by vedeli zostaviť vládu lebo 
0,dakujem za vyvíjanie tlaku na terajšiu spomalenú a neschopnu vládu
0,vyšlo najavo 
0,pelle tam k nim pekne zapadol
1,konečne sa rozhybali smradi ‍
1,prečo ešte žijú smeti komunistov?
1,ty
1,nehabite sa?????
0,nevysetria tu vrazdu
0,len tí to vedia
1,zavri sam seba
0,ta ti mas prsti tom
1,ajtak si slovenski debi to vis ne?
0,gyere vissza fico tevagy a jo kormanyfo!!!! pogy naszpety!!!!
0,čo chceš ved počas vašej  vlády sa nič nedialo
0,pan fico mnohy vieme komu to pomohlo kto to ma svedomy
0,no kto asi matovic
0,veľké slová nič viac
0,ty maš vždy pravdu
1,ficovi už neverím ani slovo.problémy s agro dotáciami
0,super barman tam by mu bolo dobre
1,stále si myslím že im išlo o to ako položiť vašu politickú stranu nejde im obyčajných ľudí tak ako ani nášmu ex prezidentovi ktorý sa upratal .a pokiaľ nám budú vládnuť ľudia ktorých tam máme teraz bude ešte horšie toto je len začiatok .
0,a vam co farba na hlavu dosla ?
0,dame polku ?
1,ach odrazu mu natom tak zalezi??? kreten
1,ako uverit cloveku ktory ma za sebou tolko kauz tolko spinavych kšeft ou ci v úvodzovkách svojch ludi za ktorymi ste stali a chránili ich ako vy pan fico??
1,sa priznaj chmulo
0,vsetko naj dodatocne k narodkam prajeme
0,pán fico
0,tak sa treba rozhovoriť a nie bla bla.
1,hádam raz aj niekoho zavrú za tento zločin.
1,médiá klamú a zavádzajú ludi
0,ak sa nemýlim
0,objednávatele - myslím si- již nepoznáme nikdy ..... vzkaz optimistum - optimista je jen špatne informovaný pesimista
0,čisty slavo
0,presne ste to povedali pán judr. fico. držím vám palce.
1,treba vidieť jeden fakt človek ktorý je kandidátom na gp mal spor z mariánom kočnerom 
1,museli sa ho zbaviť
0,zdielajte prosim niekto tento clanok po diskusiach
0,big true story
0,myslim ze smrt dvoch mladych ludi bol prostriedok ako polozit smer a hlavne znechutit verejnosti osobu roberta fica
0,super vystupenie hlavne po dlhej dobe rozumieme
0,presne tak... je veľmi zaujímavé
0,máte úplnú pravdu
0,pán fico výborne. mne a asi aj viacerým
0,celé to bolo zinscenované teátro. stačí pozrieť kto mal z toho profit a kto za nimi stojí. ale mohlo to byť aj horšie
0,c
0,konečne máte slovo...
1,nedovolime nikomu rujnovat nas zivot
0,obyčajne byva vrahom ten
0,ask to mam vlea penaze asi moze aj kupit zivto
0,keby boli nejaké nepriame dôkazy
0,....rozsudok môzeme akokolvek komentovat ale aj tak ho musime prijat ktory rozhodol trojclenny senat....aj nasich troch najvyssich ustavnych cinitelov môzeme akokolvek okomentovat ale uz sa nemôzeme zmierit s tym ze dvaja z nich su plagiatori a okrem toho sa poznali aj s mafiou
0,christian rothbauer
0,aj ja si veľmi želám aby to celé vyšlo napovrch ako to pán fico povedal no to by asi padla cela vláda ale to by bol  ich koniec....a basa
0,pán fico krásne ste nám to vysvetlil a popísal čo sme všetci už dávno vedeli vinníci sú úplne inde a bude zaujímavé čo bude keď sa to prevalí sudcovia ste super
0,čo je šts? dzurindov vymyslený nezmyselný súd ktorý opvrhuje napr. okresný súd alebo krajský súd. všetok verdikt špecializovaného trestného súdu je napadnutelny pre dobrého advokáta asi tak
0,súhlasím v plnom rozsahu
0,díky pane fico za to
0,pan robert fico  neda mi aby som vam a strane smer ako aj vladam ktorym ste boli premierom podakoval za ozajstny zaujem a ochranu najchudobnejsich a zranitelnych dakujem predovsetkym za moju mamicku ktoru ste vy a minula vlada vzdali uctu tym ze ste jej zaviedli a zvysili minimalny dochodok za odvedenu pracu a najma starostlivosti o nas deti nakolko sa minimalne dochodky teraz idu zmrazit tato vlada ukazala dokonale farizejstvo absolutne ukazali co skryva ich srdce... ak nejake maju... o to viac dakujem bohu za to ze ste nam tolke roky mudro a slachetne vladli aj s chybami ale mysleli ste srdcom na ludi na ozajstnych ludi dakujem vam pan robert fico. daniel širochman
1,od zaciatku tvrdim ze to bolo cele na nich nasite...ani vypovede udajnych vrahou sa nezhodovali z obetami kde mali byt...cele je to velka fraska...
0,pán fico má úplnú pravdu.
0,mamjka tiez
1,kde je ten chudáčik chorucky čo to všetko zincenoval vyparil sa ako smrad ale spravodlivosť si ho nájde
0,toto je čisto hra o peniaze. ako si uchmatnúť aj to posledné. tu nejde o štát
0,všetko pekne povedané
0,robo opäť máš pravdu
0,držíme palce ste súper
0,"""chýba mi v tomto  lebo fico"""".."""""""
0,má pravdu.bolo to zneužité na  pokus o pad vlády. davali to za vinu smeru.ale do dnešneho dňa (opravte ma ak sa mylim )kto zo smeru bol obvineny alebo odžalovany v tejto kauze?a nie som ficov volič.ale zastanca pravdy
0,vražda nebola zneužitá proti vláde... ja si myslím
0,ďakujeme za to vyjadrenie
0,ja vobec nerozumiem verdiktom sudu
0,možno bude vedieť volaco  ten novinár co sa zduchol za veľkú mlaku...
0,múdro pán fico držím palce
0,som si istí že skutočný objednávatelia (nie nastrčene figúrky) aj tak uniknú trestu
0,sestricka moja kdo je matrtaj
0,ponúkni znovu ten milion eur
0,0:44 - stále rovnaká mantra
0,pan fico
0,taká je pravda!!!
0,pán fico veľa síl do ďalšej práce
0,spravne pan fico matelko gde je
0,veĺmi dobre povedané
0,správne uváženie súdu má konať nie pod tlakom médií a ľudu ale
0,kde teraz na
0,kto sa omluvi
0,nemàte rùško
0,p. fico pravda vinde von a ti chcely aby vláda padla smer sd ale držím palce vám aby ste vihrali voľby a všetko to robíl matovic vás chcel vitlacit s parlamentu a matovic je čistí chaus robí parlamente
0,vtedy bolo 
0,súhlasím s týmto výrokom. má pravdu
0,profesionalne
0,priznám sa a je mi to ľúto
0,myslím
0,p.fico 
0,veru máte pravdu p.fico.
0,po vrazde okamzite bol spusteny dobre prepracovany a planovany scenar na prevzatie moci pravicou ! nahoda ? nemyslim !
0,ako vždy pravdivo pomenované a super vyjadrené.aj ja verím a rád by poznal skutočnú pravdu potvrdenú súdom a nie skorunpovanymi novinármi a politikmi čo znenavisti a pažravosti po moci obvinia nevynnych.
0,najlepší pán premiér
0,treba nové voľby
0,suhlasim a davam za pravdu pánovi ficovi 
0,"""tu zlyhali masmédiá ktoré idú v jednom šiku s politickou mocou..za mňa by malo byť okamžite začaté trestné stíhanie na moniku tódovu za vynášanie zo spisov /nech prezradí zdroj lipšica/ a na bárdyho s vagovičom za krivé výpovede....kým sa nepôjde aj po týchto strážnych psoch demokracie"""" tak táto spoločnosť nebude nikdy slobodná"""
0,nie som privrženec smeru
0,pani kušnírová raz vygŕca ten obed čo jedla s matrtajom
0,len sa bojím že sa nedozvieme a matovič sa zas vyhovori lebo fico
1,seriem na celú politiku. nechajte  nás žiť
1,pri tých všetkých vyjadreniach pri chýba vyjadrenie kisku
0,pravda príde.
0,jednoducho povedané niekto má veľký záujem rozbiť súdržnosť tejto v krajine. pomáha ov tu už má niektorí za peniaze spravia všetko. len toto je krutá daň za povalenie vlády.
0,vidite ako vdaka kocnerovi prestala existovat korona  suhlasim s vami aj ked som vas nevolila
0,ja som za vás
0,absolútne súhlasím
0,super pan fico
1,prečo nikto nerieši od kial média majú informácie? finančné postihy pre každé takéto médium
0,bravo pan fico.... takto sa ma vyjadrit politik a statnik... caputova
1,špinava politicka moc kde isiel boj o moc
0,my to vieme
0,super povedane
0,suhlasim uplne...
0,všetko bolo podľa mňa riadené zvonku myslím zo zahraničia 
1,bingo
0,ty to veľmi dobre vieš ale taktiež vieš že ak by si to povedal tak ty sám tak skončíš ako kuciak
0,tak veru p. fico povedali ste to pravdivo....
0,takže žiadna vínna. peniaze sú na vinne.
0,veĺmi pravdivý prejav.
0,nesmiete dopustiť aby naď dosadil zlodeja galka do leteckých opravovní.!!! bude dusno.
0,pan fico
1,tie debilne média zasobovane lipsicom šaleju  keď ne odsúdili koho oni určia nakoniec pôjdu aj oni
0,majte kreatívne myslenie
0,robo a teraz do nich
0,p. fico by mohol navrhnúť pozostalým
0,treba sa zamyslieť kto mal najviac získal touto vraždou. myslite ze kocner?veru nie
1,veľmi dobrá reč p. fico. skutočne je pravda
0,písal som o tom hneď po vražde dvoch mladých ľudí
0,p. fico super!!! iné sa ani nedalo čakať
0,presne
0,máte pravdu pán fico ale čo ďalej 
0,koľkokrát sa vyjadril kiska 
0,plne s vami súhlasím pán fico
0,pan fico hovoríte my z duše  dávali vinu vam aby vás  zhodily škoda ze ste sa vzdali mali ste viac bojovať to nieto mrchy na čele kiskom to porobili a teraz jaj bože zle ideme sikanovat súdnictvo sulik môže ďakovať ak celý spol na čele matovicom že im to prešlo  držte sa
0,zatial asi jediny politik
0,len aby sa teraz nesnažili zbaviť kocnera lebo myslím si že ak začne hovoriť veľa hláv padne
0,o tom vsetkom moze rozpravat tato nova vlada ona chcela ziskat moc ako kiska povedal je v tom vela  ludi a urcite im padla sanka no a ma zautocit aj kocner mnoho akterov si chodi po slobode a pretrcaju sa tu !!!!!! vsetko bolo jasne dopredu pripravovane!!!!!!
0,súhlasím s vami pán fico je tu len slepá nenávisť a žiadne logické myslenie
0,oni si ale zelaju
0,p. fico
0,niet čo dodať
0,a ja sa radujem a to tak ze kocner bude ucinkovat a rozpravat on sa rad pretrca pred kamerami
0,ako odsudzjete otposluchy
0,presne tak
0,rozumne
0,pan judr fico pekny komentar k prepusteniu p. kocnera media zavadzaju fakt neviem kde je pravda zacinam verit tomu
0,nevieš prečo to nepovieš na plne ústa že kto ta tým vie vy v ba zo viete len keby sa to dozvedel národ boli vy veľmi ale veľmi prekvapený
0,komu a comu posluzila smrt tych dvoch mladych ludi?? tam je odpoved.
0,preco za  to ze sa z vysetrovacich spisov beztrestne dostavaju informacie a nikto proti tomu nic nekona
0,máte pravdu všetko to bolo dopredu pripravené na vás a smer potrebovali spraviť nedôveru ľudu voči vám a celému smeru len sa im to vymklo z rúk alebo lepšie povedané ze matovic je taký blb že všetko robí okato. najviac co ma poburilo bola akože naša prezidentka ona si bude žiadať vysvetlenie to vážne?????sme s vami pan fico normálne uvazujuci ľudia vedia a vedeli prečo sa ten prevrat stal potrebovali sa zbaviť demokracie a nastoliť dictaturu
1,pochybne vysetrovanie
0,výborne p. fico.
0,od začiatku to bolo jasné
0,niet čo na to napísať len súhlasiť
0,pekne som rada že ste sa p. fico k tomuto rozhodnutiu vyjadril od samého začiatku som čakala tento verdikt. smutné na tom je že smrť mladých ľudí bola zneužitá... ešte nie je koniec..pod lampou býva najväčšia tma...
1,ved od zaciatku bolo jasne ze kocner je le len obetny baranok .....a skutocni zlocinci behaju na slobode a sedia vo vlade !
0,pan fico a teraz ísť do ulic
0,pomôžte nám zbaviť sa tejto vlády
0,pán fico
0,p. fico vystizne dakujeme za prihovor. drzime vam palce.
0,soroscata su kde? :d biely kon splnil účel a zdar. to len pre tých co sa zahravaju s ancikristom sorosom :d
0,ajaj od začiatku tvrdím niečo tu nehrá....
0,v čase vypuknutia a to nie som priaznivec róberta fica a smer sd..som viac krát opísal že smer sd a róbert fico s touto vecou nemá nič spoločné... nič by tým nezískal a nenal to ani za potrebu...no médiá a kiska projekt ... progresívne slovensko spolu za ľudí..s toho začali plne ťažiť... panáčik šeliga zvolával protesty...ale na základe koho a pre koho? róbert fico..mal.plnú pravdu pri soroš batalión a ich aktivitách... poradenstvo pre čaputovu robili izraelci pričom šéf agentúry stál za xxx prevratmi...nie tu som od začiatku na strane roberta fica...ten pokus o prevrat bol...a keby pellegrini mal gule a nezapredal sa tak sa všetko odhalí...kušnirova konečne pochopila že bola využitá pre politiku samotnú...kuciak st.má môj veľký rešpekt 
0,okamžite postaviť pred súd novinárov
0,som zvedavá aké to bude pokračovanie? neviem prečo nenarobilo film o penta a vadalovcov
0,veríme vám pán fico
0,pán fico výborne povedané .
0,a čo hovorí koalícia na rozsudok
1,preč s matovičom a jeho bandou .pravda nakoniec vyjde na povrch.
0,pán politik !verím vám!
0,no určite to nebol kočner a zsuzsová. čo tak sa opýtať haščáka
1,pán fico
1,držal som vám prsty...veril  a ste ma i prekvapili ako mnohých ...že ste jeden normálne dobrý politik... ani celá mafia77 netušila že ...urobíte taký krok.to klobúk dole....a anjel kiska čumil jak puk.... na to nebol nikto pripravený.ale ...mimovládky ste nezničil čo je škoda...naopak tým nahubkovim zákonom ste im daroval moc....  a bohužiaľ aj mňa sklamal.damvam radu....slováci nie sú fašisti...ani rasisti sme len biely národ kresťanský ako mi je ľúto že ..ste bol na smiech že ..birmovany.ale ...obrezanci vládnu vďaka vášmu zákonu a sú nedoknutelny....
0,matovičov míľnik sa rúca koľko politikov z prava odo dnes bude mať ťažké sny?
0,kde je p. todová? a lipšic je už na belize?
0,bravo!
0,s ficom súhlasím ...naše média a aj politici ešte len začne proces a už vedia  kto je vinný a už dopredu človeka odsúdia nám ani netreba sudcov ani súdy a už dopredu linčujú hlava nehlava a kocner ich úhlavný nepriateľ musí byt odsúdený na doživotie lebo nikdy nemal v láske prestitutov a ostro vystupoval proti ním keď nie sú relevantne dôkazi tak človeka nemôžu odsúdiť  a skláňam sa pred sudcom ktorý  vyniesol rozsudok lebo nebude to mať ´´´teras ľahké...budú ho linčovat lmožno ho aj zbavia sudcovského taláru lebo nespravil tak ako si oni želali a netancuje podľa ich muziky keď nie sú dôkazi nemôžu človeka odsúdiť  ten sudca nabral obrovskú odvahu že viniesol rozsudok aký viniesol ......
0,vám osobne by sa mali ospravedlniť prežili ste si toho až až!!!! veríme a dúfame že pravda vyjde von a dozvieme sa pravých objednávateľov tých vrážd aj keď veľa rozumných ľudí to už tuší!!!
0,nie som váš volič
0,ano robert
0,no...mám také tušenie
0,lipšic im to spočíta keď ho dotlačia do lukratívnej funkcie...
1,jedno  si musíme všetci uvedomiť
0,pri prevratoch je najúčinnejšia nejaká obeť a davy v uliciach sa pohnú. komu vyhovovala vražda
0,matovič nech dá vyšetrit kto stoji za touto vraždou.ale to pochybujem lebo stopy by viedli isto do ich radov.oni z toho profitovali a akoby do predu vedeli aj ako voľby dopadnu.demonštrácie proti ficovi nachystané len hladali dôvod tak ho našli.ak je to tak neštítia sa ničoho a ľudský život pre nich nič neznamená.
0,mna tento pripad az tak nezaujima pretoze tu mame ovela dolezitejsie veci no myslel som si ze kocnera odsudia. sudcovia najlepsie vedeli ake maju dokazy a treba respektovat rozhodnutie sudu.
0,mr. fico
0,dúfam 
0,pán fico
0,robo na hrad
0,výborne pán fico prajem veľa zdravia 
0,souhlasím s vámi
0,výborne zhodnotené pán fico...vy veľmi dobre viete kto a prečo...povedali to už dávno forisch a žiaran...potrebovala sa dostať k moci liberálna smečka na čele s kiskom..pucifajtáš rizman bol spomínaný s nicholsonom ohľadnom okamžitých demonštrácí za slušné slovensko...
0,veľmi dobre ste sa vyjadrili.
0,výborne pan fico...vystúpenie hodné zrelého politika...
0,plne s vami pán fico súhlasím
0,cítim zadosťučinenie a súhlasím do slovami pána fica
0,verila som tomu že smer nemal s vrazdou nič spoločné
0,spýtajte sa nicholsona
0,vyjadrenia politikov vladnej koalicie a medii svedcia o tom
0,bol to americky biznis...ako vsetko zle co sa deje naokolo..fica som nemusel
0,pán fico. dobre vieme už dávno
0,človek by na tom bol dosť biedne keby musel byť ovládaný strachom z trestu a nádejou na odmenu po smrti.“ všetky veľké veci sú jednoduché a mnohé možno vyjadriť jediným slovom: sloboda
0,perfektne pan fico!!!!este nech padne vlada toho debila a slovensko moze kvitnut!!!
1,ano pán fico
0,todová na tlačovke predsedu šts
0,velmy pekne povedane
0,čistá pravda
0,pekny prihovor p fico ste nas
1,ja som verila a aj verím
0,pravda
0,je to tak
0,nemusi ta ale dobre povedane
0,pravdu ma ten chlapec
0,ako dokážete byť v tejto anomálii normálny profesionálny a rozvážny už všetci sú tak komplet zmotaní
0,vyjadrenie  fica má úroveň nedá sa porovnať vyjadreniami tejto vlády
0,presne a vystizne...
0,od 11hod.mám dobrý deň...ta banda novinárska toto nerozdýcha a lipšic sa musí hádzať o zem ...no mohlo dnes niečo potešiť viac ...už len keby padla vláda.
0,neviete kedy sa vyjadrí k tomuto všetkému náš prekrásny premiér?
1,tu  nám nevládne nikto len médiá to je hanba
0,nechcem fandiť kočnerovi ale kde niet dôkazov tak súdnictvo rozhodlo správne.
0,mudro povedane pan fico !
0,dnes vám to veľmi slušalo. asi nastáva trochu pokoj.
0,suhlasim s vami  !  vyborne pan fico slepa nenavist ! media a novinari chcu vynasat rozsudky !!!
1,presne !  tie hoväda zrušia sudcov špeciálneho súdu !!!  to keď nie je dôkaz  to majú odsúdiť ľudí !  snáď chcete smradi povedať že sudcov riadi opozícia !  keď začnú rozprávať kocner a alena 
1,o pravdu nikomu ani nešlo ani nejde jedna mastná bravčová hlava nám tu 2roky jasné hovorila o čo ide musíme prevziať moc tam treba hľadať pôvodcu tohto bordelu tam bol motív
0,treba sa spítať tých ktorý plánovali prevrat .pán fico keby ste neodstúpil s postu  premiéra tak by na slovensku bola niečo také ako bola ukrajina alebo bielorusko . ste super chlap preto si vás vážim a držím palce smeru ..!....
0,podľa mňa kuciak poukazoval na sprisahanie terajšej vlády a hascaka. o odstránení ficovej vlády a tak sa stal nepohodlný. véd hascak mal kontakty aj na sis a tak mohol dat sledovať kuciaka.!!!
0,judr. robert fico
0,pán fico
0,ja verim tomu ze je za tym matovic.uz nevedel ako odpalit smer.a vedela som ze za tym nieco bude ked to odrocili
0,pán fico boli ste premiér 10 rokov
0,novinári majú svoju pravdu
0,stále zostal nejasný motív.. aj keď my ho tušíme jasne...
0,plne s ním súhlasím
0,kto chcel zmenu asi obetoval dvoch nevinný ľudí na zmenu ! najvyšší čas sa vrátiť !
1,pán fico
0,čistá pravda.
1,lipšic do basy
1,pan fico terz kazdy lezete ako krysy z dier
0,kolarko ved sa nic nestalo ci hej
0,"""boris kollár získal nový titul: obecný bujak."""""""""""
0,"""no toto je hola a bohužiaľ čistá pravda. tento fico ako naňho celé roky útočiťe vám povedal veľa bohužiaľ o sa tu deje."""""""
0,držím vám
0,ďakujem súhlasím
0,vie si zastať a zastabilizovať slovensko..
0,ja robovi verím..
1,spletas
0,už treba túto vládu zhodiť... nikdy som nevolil a to už mám 47 rokov. ale rád dám hlas pánovi ficovi.
0,aky noris je ? kazdy sme neaky
0,preto tipos nepodavam aj ti radia co sutaze riesia urcite su a dotuju kade koho a nevera vo vyhru ...
1,o čom točíš stále???? si ty ešte vôbec normálny ???? chápeš vôbec konceptuálne ako funguje svet????? však ty si to presral vo všetkom!!!!!
0,ficosik ty máš byť posledný za svoje kauzy
0,robo si jednotka
1,chcem usmeu na tváry deti keď im dám keď môžem ale tak s dlhú do dlhú a nič iné len poplatky už má nebavy to tu. je mi ľúto a som sklamaný nie za slovákov co makaju pre minimum ale tak pôjdem inde a budem šťastný lebo v zahraničí je to lepšie než tu... bol som a skúsil  som a viem ze 500e na týždeň čo som mal som neveril..vianoce som mal vtedy a úplne na smiech je to tu keď sa chcú politické mozgy rovnať zo zahraničím... a tak poplatky hore či odvody za nás.. ôk ale platy len a len dole alebo slabo rastu abyzalepili oči ľuďom a to je len pre to lebo nechcú si vážiť tých ľudí čo makaju cely život na kasu alebo na to aby neboli bezdomovcami.. plačem nad tými co sa tam v parlamente len posadia..po hlasujú.. a majú 3000 a.. skúsiť žiť za robiť na výplatu 700e to nebudú lebo sú iný... sú to dristyco tam trepu a mali by sa uvedomiť ci sme len otroci lebo musíme a oni králi co len si prdia a netrhaju za 3 ľudí aby mali plat trosku lepší a aj to je danéne... raz dva  sa omeskaš s platbou a už
